,review,projects,tenure,satisfaction,avg_hrs_month
38,Top 30%,Top 20%,Top 40%,Bottom 30%,Top 40%
39,Bottom 20%,Bottom 40%,Bottom 40%,Top 20%,Bottom 30%
40,Top 30%,Bottom 40%,Bottom 5%,Top 40%,Bottom 5%
41,Bottom 20%,Bottom 40%,Bottom 5%,Top 20%,Bottom 5%
42,Top 20%,Bottom 5%,Bottom 40%,Top 50%,Bottom 30%
43,Top 30%,Bottom 40%,Bottom 40%,Top 40%,Bottom 30%
44,Bottom 50%,Bottom 40%,Bottom 40%,Bottom 50%,Bottom 30%
45,Top 40%,Bottom 5%,Bottom 40%,Bottom 50%,Bottom 40%
46,Bottom 10%,Top 20%,Bottom 40%,Top 10%,Bottom 40%
47,Bottom 40%,Top 20%,Bottom 20%,Top 10%,Bottom 20%
48,Top 40%,Top 20%,Bottom 40%,Top 30%,Bottom 40%
49,Bottom 5%,Bottom 40%,Bottom 40%,Top 5%,Bottom 20%
50,Bottom 20%,Bottom 40%,Bottom 40%,Top 5%,Bottom 40%
51,Top 30%,Bottom 40%,Bottom 20%,Top 40%,Bottom 20%
52,Bottom 10%,Top 20%,Top 40%,Top 20%,Top 40%
53,Bottom 10%,Top 20%,Bottom 40%,Top 20%,Bottom 40%
54,Bottom 30%,Bottom 40%,Bottom 5%,Top 5%,Bottom 5%
55,Top 40%,Top 20%,Bottom 20%,Top 20%,Bottom 20%
56,Top 5%,Bottom 40%,Bottom 20%,Bottom 40%,Bottom 20%
57,Bottom 30%,Bottom 40%,Bottom 20%,Top 5%,Bottom 10%
58,Top 30%,Bottom 5%,Bottom 10%,Top 50%,Bottom 20%
59,Top 40%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%
60,Bottom 20%,Bottom 40%,Top 40%,Top 30%,Top 50%
61,Top 20%,Top 20%,Top 40%,Top 40%,Top 50%
62,Top 5%,Bottom 5%,Bottom 5%,Top 20%,Bottom 5%
63,Top 20%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 50%
64,Bottom 20%,Bottom 40%,Bottom 40%,Top 10%,Bottom 20%
65,Top 10%,Top 20%,Bottom 40%,Bottom 50%,Bottom 40%
66,Bottom 30%,Top 20%,Bottom 10%,Top 30%,Bottom 10%
67,Bottom 40%,Bottom 40%,Bottom 40%,Top 10%,Bottom 50%
68,Top 30%,Top 20%,Top 40%,Top 40%,Top 40%
69,Top 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 10%
70,Bottom 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%
71,Bottom 5%,Top 20%,Top 40%,Top 10%,Top 30%
72,Bottom 30%,Top 20%,Bottom 40%,Top 10%,Bottom 30%
73,Bottom 30%,Bottom 5%,Bottom 40%,Top 10%,Bottom 30%
74,Bottom 20%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%
75,Top 30%,Bottom 40%,Bottom 20%,Top 40%,Bottom 10%
76,Bottom 10%,Bottom 40%,Bottom 40%,Top 5%,Bottom 50%
77,Bottom 40%,Top 20%,Bottom 40%,Bottom 40%,Bottom 40%
78,Top 20%,Bottom 40%,Top 20%,Bottom 5%,Top 10%
79,Top 50%,Bottom 30%,Bottom 40%,Top 30%,Bottom 40%
80,Bottom 20%,Bottom 40%,Bottom 10%,Top 20%,Bottom 10%
81,Bottom 50%,Top 20%,Bottom 40%,Top 20%,Bottom 40%
82,Top 20%,Top 20%,Bottom 20%,Bottom 50%,Bottom 10%
83,Bottom 10%,Bottom 40%,Bottom 20%,Top 10%,Bottom 20%
84,Top 10%,Bottom 5%,Bottom 20%,Top 30%,Bottom 10%
85,Bottom 20%,Bottom 40%,Bottom 5%,Top 20%,Bottom 10%
86,Top 40%,Bottom 40%,Bottom 20%,Bottom 50%,Bottom 20%
87,Bottom 50%,Bottom 40%,Bottom 20%,Top 10%,Bottom 20%
88,Top 40%,Bottom 40%,Bottom 10%,Top 5%,Bottom 10%
89,Top 40%,Bottom 40%,Bottom 10%,Top 10%,Bottom 20%
90,Top 10%,Top 20%,Bottom 20%,Top 30%,Bottom 10%
91,Bottom 40%,Bottom 30%,Bottom 20%,Bottom 50%,Bottom 20%
92,Top 20%,Bottom 40%,Bottom 5%,Top 30%,Bottom 5%
93,Top 20%,Bottom 40%,Top 40%,Bottom 20%,Top 40%
94,Top 20%,Bottom 40%,Bottom 20%,Bottom 50%,Bottom 10%
95,Top 40%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%
96,Top 10%,Bottom 40%,Bottom 20%,Bottom 40%,Bottom 20%
97,Top 20%,Top 20%,Bottom 10%,Bottom 50%,Bottom 10%
98,Bottom 40%,Bottom 40%,Bottom 40%,Top 30%,Bottom 50%
99,Top 30%,Bottom 40%,Bottom 40%,Bottom 30%,Bottom 30%
100,Bottom 30%,Top 20%,Bottom 10%,Top 30%,Bottom 10%
101,Bottom 10%,Bottom 40%,Bottom 5%,Top 10%,Bottom 5%
102,Bottom 20%,Bottom 40%,Bottom 10%,Top 5%,Bottom 10%
103,Bottom 20%,Top 20%,Bottom 40%,Top 30%,Bottom 30%
104,Top 40%,Top 20%,Top 40%,Top 40%,Top 50%
105,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 50%,Bottom 50%
106,Bottom 10%,Top 20%,Bottom 40%,Top 10%,Bottom 50%
107,Bottom 40%,Bottom 40%,Bottom 40%,Top 30%,Bottom 50%
108,Bottom 10%,Bottom 40%,Bottom 40%,Top 5%,Bottom 40%
109,Top 20%,Top 20%,Bottom 20%,Top 40%,Bottom 20%
110,Bottom 20%,Top 20%,Bottom 10%,Top 10%,Bottom 5%
111,Top 30%,Bottom 40%,Bottom 40%,Top 50%,Bottom 30%
112,Top 50%,Bottom 40%,Bottom 5%,Top 20%,Bottom 10%
113,Bottom 40%,Top 20%,Bottom 40%,Top 30%,Top 50%
114,Top 5%,Top 20%,Bottom 5%,Bottom 40%,Bottom 5%
115,Bottom 30%,Top 20%,Bottom 10%,Top 10%,Bottom 20%
116,Bottom 40%,Bottom 5%,Bottom 20%,Top 20%,Bottom 10%
117,Bottom 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%
118,Top 20%,Bottom 40%,Bottom 40%,Bottom 50%,Bottom 40%
119,Bottom 5%,Top 20%,Bottom 40%,Top 5%,Bottom 40%
120,Bottom 30%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%
121,Top 50%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%
122,Bottom 10%,Bottom 5%,Bottom 20%,Top 5%,Bottom 20%
123,Bottom 50%,Bottom 5%,Bottom 20%,Top 20%,Bottom 20%
124,Top 30%,Top 10%,Bottom 20%,Top 10%,Bottom 10%
125,Bottom 40%,Top 20%,Bottom 40%,Top 30%,Bottom 40%
126,Top 40%,Bottom 40%,Bottom 20%,Top 30%,Bottom 10%
127,Bottom 40%,Bottom 40%,Bottom 5%,Top 10%,Bottom 5%
128,Bottom 5%,Bottom 40%,Bottom 40%,Top 5%,Bottom 20%
129,Top 20%,Bottom 5%,Bottom 20%,Top 30%,Bottom 20%
130,Bottom 30%,Bottom 5%,Bottom 10%,Top 10%,Bottom 20%
131,Top 40%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%
132,Bottom 30%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%
133,Bottom 30%,Top 20%,Bottom 10%,Top 40%,Bottom 10%
134,Bottom 30%,Bottom 40%,Bottom 40%,Top 10%,Bottom 40%
135,Top 40%,Bottom 40%,Top 40%,Top 40%,Top 40%
136,Bottom 10%,Bottom 40%,Bottom 20%,Top 5%,Bottom 20%
137,Top 40%,Top 20%,Bottom 40%,Top 30%,Bottom 30%
138,Top 20%,Bottom 40%,Bottom 20%,Bottom 40%,Bottom 20%
139,Top 50%,Top 20%,Bottom 5%,Top 5%,Bottom 5%
140,Top 20%,Bottom 40%,Bottom 40%,Top 50%,Bottom 30%
141,Bottom 5%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%
142,Bottom 40%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%
143,Bottom 40%,Bottom 40%,Bottom 20%,Top 30%,Bottom 10%
144,Top 30%,Bottom 5%,Bottom 40%,Bottom 40%,Bottom 30%
145,Top 10%,Bottom 40%,Bottom 20%,Bottom 50%,Bottom 20%
146,Top 40%,Bottom 40%,Bottom 10%,Top 10%,Bottom 10%
147,Bottom 40%,Bottom 40%,Top 40%,Top 20%,Top 50%
148,Bottom 10%,Top 20%,Top 40%,Top 10%,Top 50%
149,Top 20%,Bottom 40%,Bottom 40%,Bottom 50%,Bottom 30%
150,Bottom 20%,Bottom 40%,Top 40%,Top 30%,Top 40%
151,Top 50%,Bottom 40%,Bottom 5%,Top 20%,Bottom 5%
152,Bottom 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 30%
153,Top 30%,Top 20%,Bottom 20%,Top 40%,Bottom 10%
154,Top 40%,Bottom 40%,Bottom 40%,Top 50%,Bottom 30%
155,Top 30%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 40%
156,Top 30%,Bottom 40%,Top 40%,Top 50%,Top 40%
157,Top 5%,Top 20%,Bottom 40%,Bottom 30%,Bottom 30%
158,Bottom 10%,Top 20%,Bottom 40%,Top 10%,Bottom 40%
159,Bottom 20%,Bottom 40%,Bottom 20%,Top 10%,Bottom 10%
160,Bottom 20%,Top 20%,Bottom 40%,Top 20%,Bottom 50%
161,Bottom 30%,Bottom 5%,Bottom 20%,Top 5%,Bottom 10%
162,Top 50%,Bottom 40%,Bottom 10%,Top 30%,Bottom 10%
163,Bottom 30%,Bottom 30%,Bottom 40%,Top 40%,Bottom 40%
164,Bottom 10%,Top 20%,Bottom 40%,Top 20%,Bottom 40%
165,Top 40%,Bottom 40%,Top 40%,Bottom 50%,Top 40%
166,Top 50%,Bottom 30%,Bottom 40%,Top 30%,Bottom 30%
167,Bottom 50%,Bottom 40%,Bottom 20%,Top 30%,Bottom 20%
168,Top 10%,Top 20%,Bottom 40%,Top 50%,Bottom 30%
169,Bottom 40%,Bottom 40%,Bottom 10%,Top 10%,Bottom 20%
170,Bottom 30%,Bottom 40%,Bottom 40%,Top 10%,Bottom 40%
171,Top 30%,Bottom 40%,Bottom 40%,Bottom 30%,Bottom 40%
172,Top 20%,Bottom 40%,Bottom 20%,Top 50%,Bottom 20%
173,Bottom 10%,Top 10%,Bottom 40%,Top 10%,Bottom 40%
174,Bottom 30%,Bottom 40%,Bottom 5%,Top 10%,Bottom 5%
175,Bottom 40%,Bottom 40%,Bottom 40%,Top 30%,Bottom 50%
176,Top 50%,Top 20%,Bottom 20%,Top 40%,Bottom 20%
177,Top 20%,Top 10%,Bottom 20%,Top 30%,Bottom 20%
178,Bottom 20%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%
179,Bottom 50%,Top 20%,Bottom 20%,Top 20%,Bottom 20%
180,Top 10%,Top 20%,Bottom 20%,Top 40%,Bottom 10%
181,Top 50%,Top 20%,Bottom 40%,Top 40%,Bottom 30%
182,Bottom 40%,Bottom 40%,Bottom 40%,Top 20%,Bottom 30%
183,Bottom 5%,Bottom 40%,Bottom 40%,Top 5%,Bottom 30%
184,Bottom 20%,Bottom 40%,Bottom 40%,Top 40%,Bottom 50%
185,Bottom 10%,Top 20%,Bottom 20%,Top 20%,Bottom 20%
186,Top 20%,Bottom 30%,Bottom 5%,Top 20%,Bottom 5%
187,Top 10%,Top 20%,Bottom 40%,Bottom 30%,Bottom 40%
188,Bottom 30%,Bottom 5%,Top 40%,Top 10%,Top 50%
189,Top 20%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%
190,Top 50%,Top 20%,Bottom 20%,Top 30%,Bottom 20%
191,Top 30%,Bottom 5%,Bottom 40%,Top 40%,Bottom 30%
192,Bottom 10%,Bottom 40%,Bottom 40%,Top 20%,Bottom 30%
193,Bottom 40%,Top 20%,Bottom 40%,Top 40%,Bottom 30%
194,Bottom 30%,Bottom 40%,Top 40%,Top 20%,Top 50%
195,Bottom 5%,Bottom 40%,Bottom 20%,Top 5%,Bottom 10%
196,Top 30%,Bottom 40%,Bottom 20%,Top 30%,Bottom 20%
197,Bottom 5%,Bottom 40%,Top 40%,Top 10%,Top 40%
198,Bottom 20%,Bottom 40%,Bottom 40%,Bottom 50%,Bottom 50%
199,Bottom 20%,Bottom 40%,Bottom 40%,Top 5%,Bottom 40%
200,Top 40%,Bottom 40%,Bottom 40%,Top 30%,Bottom 30%
201,Top 30%,Top 20%,Bottom 40%,Top 40%,Bottom 30%
202,Bottom 50%,Bottom 40%,Bottom 5%,Top 20%,Bottom 10%
203,Bottom 10%,Top 20%,Bottom 20%,Top 10%,Bottom 10%
204,Bottom 30%,Bottom 40%,Bottom 30%,Top 20%,Bottom 30%
205,Bottom 30%,Bottom 5%,Bottom 20%,Top 10%,Bottom 10%
206,Bottom 30%,Top 20%,Bottom 5%,Top 10%,Bottom 5%
207,Top 30%,Bottom 40%,Bottom 20%,Top 10%,Bottom 20%
208,Top 30%,Bottom 40%,Bottom 20%,Bottom 40%,Bottom 10%
209,Top 30%,Top 10%,Top 40%,Top 40%,Top 50%
210,Bottom 30%,Top 20%,Top 40%,Top 40%,Top 30%
211,Bottom 10%,Top 20%,Top 40%,Top 20%,Top 50%
212,Bottom 40%,Bottom 40%,Bottom 20%,Top 10%,Bottom 10%
213,Top 30%,Top 20%,Bottom 40%,Top 50%,Bottom 30%
214,Bottom 20%,Top 20%,Bottom 20%,Top 10%,Bottom 20%
215,Bottom 10%,Bottom 40%,Bottom 40%,Top 30%,Bottom 30%
216,Top 40%,Bottom 40%,Bottom 40%,Top 40%,Bottom 30%
217,Top 10%,Bottom 40%,Bottom 20%,Bottom 20%,Bottom 20%
218,Bottom 40%,Bottom 40%,Bottom 40%,Top 10%,Bottom 40%
219,Top 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%
220,Bottom 10%,Bottom 40%,Bottom 20%,Top 10%,Bottom 10%
221,Bottom 50%,Top 5%,Bottom 40%,Bottom 50%,Bottom 30%
222,Top 50%,Top 20%,Bottom 10%,Top 40%,Bottom 10%
223,Top 20%,Top 20%,Bottom 20%,Top 20%,Bottom 20%
224,Top 50%,Bottom 40%,Bottom 5%,Top 10%,Bottom 5%
225,Bottom 40%,Bottom 40%,Bottom 40%,Top 20%,Bottom 40%
226,Bottom 10%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%
227,Bottom 20%,Top 20%,Bottom 20%,Top 10%,Bottom 20%
228,Top 50%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%
229,Bottom 10%,Top 20%,Bottom 20%,Top 5%,Bottom 10%
230,Bottom 50%,Bottom 40%,Top 40%,Bottom 40%,Bottom 50%
231,Bottom 30%,Top 5%,Top 40%,Top 40%,Top 40%
232,Top 50%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%
233,Bottom 30%,Bottom 40%,Bottom 40%,Top 30%,Bottom 20%
234,Top 50%,Top 20%,Top 40%,Bottom 50%,Top 30%
235,Bottom 50%,Bottom 40%,Bottom 20%,Top 30%,Bottom 20%
236,Bottom 10%,Top 20%,Bottom 40%,Top 5%,Bottom 40%
237,Bottom 10%,Bottom 40%,Top 40%,Top 20%,Top 30%
238,Bottom 50%,Bottom 10%,Bottom 20%,Top 20%,Bottom 30%
239,Top 40%,Top 20%,Bottom 40%,Top 40%,Bottom 30%
240,Bottom 20%,Top 20%,Bottom 10%,Top 10%,Bottom 5%
241,Top 30%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%
242,Top 40%,Bottom 30%,Bottom 20%,Top 30%,Bottom 30%
243,Top 10%,Bottom 40%,Top 40%,Bottom 10%,Top 50%
244,Bottom 30%,Bottom 40%,Bottom 5%,Top 5%,Bottom 10%
245,Bottom 50%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%
246,Bottom 50%,Top 20%,Bottom 20%,Top 20%,Bottom 30%
247,Bottom 40%,Bottom 40%,Bottom 10%,Top 30%,Bottom 10%
248,Top 40%,Bottom 40%,Bottom 20%,Top 30%,Bottom 10%
249,Bottom 40%,Bottom 40%,Bottom 5%,Top 20%,Bottom 10%
250,Bottom 40%,Bottom 40%,Bottom 20%,Top 10%,Bottom 20%
251,Top 40%,Bottom 40%,Bottom 5%,Top 20%,Bottom 5%
252,Top 30%,Bottom 5%,Bottom 5%,Top 10%,Bottom 5%
253,Bottom 30%,Bottom 40%,Bottom 20%,Top 30%,Bottom 20%
254,Top 20%,Bottom 40%,Bottom 10%,Top 50%,Bottom 10%
255,Bottom 30%,Bottom 40%,Bottom 40%,Top 50%,Bottom 40%
256,Top 50%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 20%
257,Bottom 40%,Bottom 40%,Top 40%,Top 30%,Top 50%
258,Top 10%,Top 20%,Bottom 20%,Top 50%,Bottom 10%
259,Bottom 10%,Top 10%,Bottom 40%,Top 10%,Bottom 40%
260,Bottom 20%,Top 20%,Bottom 40%,Top 10%,Bottom 30%
261,Bottom 10%,Bottom 40%,Bottom 40%,Top 5%,Bottom 30%
262,Bottom 30%,Bottom 40%,Bottom 5%,Top 10%,Bottom 5%
263,Top 20%,Top 20%,Bottom 40%,Bottom 20%,Bottom 40%
264,Bottom 5%,Bottom 40%,Bottom 40%,Top 5%,Bottom 50%
265,Bottom 20%,Bottom 30%,Bottom 40%,Top 30%,Top 50%
266,Bottom 40%,Top 20%,Top 40%,Top 40%,Top 50%
267,Bottom 20%,Bottom 40%,Top 40%,Top 20%,Top 50%
268,Bottom 10%,Top 20%,Bottom 5%,Top 20%,Bottom 5%
269,Top 5%,Bottom 40%,Bottom 40%,Bottom 10%,Bottom 40%
270,Bottom 20%,Top 20%,Bottom 40%,Top 40%,Bottom 50%
271,Top 30%,Bottom 40%,Bottom 40%,Bottom 50%,Bottom 40%
272,Top 40%,Bottom 40%,Bottom 20%,Top 40%,Bottom 10%
273,Bottom 30%,Bottom 40%,Bottom 20%,Top 5%,Bottom 10%
274,Top 40%,Top 20%,Bottom 5%,Top 20%,Bottom 5%
275,Top 10%,Top 20%,Bottom 40%,Bottom 20%,Bottom 50%
276,Bottom 40%,Top 20%,Bottom 10%,Top 20%,Bottom 20%
277,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%,Top 40%
278,Bottom 20%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%
279,Top 20%,Bottom 30%,Bottom 40%,Bottom 50%,Bottom 40%
280,Top 40%,Bottom 40%,Bottom 20%,Top 10%,Bottom 10%
281,Top 40%,Bottom 40%,Top 40%,Top 40%,Top 40%
282,Top 50%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%
283,Bottom 50%,Bottom 40%,Bottom 10%,Top 20%,Bottom 10%
284,Top 30%,Bottom 40%,Bottom 20%,Top 50%,Bottom 30%
285,Top 30%,Top 20%,Bottom 40%,Bottom 40%,Bottom 40%
286,Top 30%,Bottom 40%,Bottom 10%,Top 20%,Bottom 10%
287,Bottom 50%,Bottom 5%,Bottom 20%,Top 20%,Bottom 20%
288,Bottom 10%,Bottom 5%,Bottom 40%,Top 5%,Bottom 30%
289,Top 10%,Bottom 40%,Bottom 40%,Top 40%,Bottom 30%
290,Top 30%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%
291,Top 20%,Top 20%,Bottom 40%,Top 50%,Bottom 30%
292,Top 50%,Bottom 40%,Bottom 40%,Top 10%,Bottom 40%
293,Bottom 50%,Top 20%,Bottom 40%,Top 40%,Bottom 50%
294,Bottom 30%,Bottom 40%,Bottom 40%,Top 5%,Bottom 30%
295,Bottom 20%,Top 20%,Bottom 20%,Top 10%,Bottom 20%
296,Bottom 50%,Bottom 5%,Bottom 30%,Top 50%,Bottom 30%
297,Top 50%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%
298,Top 20%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 30%
299,Bottom 40%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%
300,Bottom 20%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%
301,Bottom 20%,Bottom 30%,Bottom 20%,Top 20%,Bottom 20%
302,Bottom 20%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%
303,Top 40%,Bottom 5%,Bottom 5%,Top 20%,Bottom 5%
304,Bottom 40%,Bottom 40%,Bottom 5%,Top 20%,Bottom 5%
305,Top 20%,Top 20%,Bottom 10%,Top 20%,Bottom 10%
306,Top 40%,Bottom 40%,Bottom 10%,Top 50%,Bottom 5%
307,Bottom 20%,Bottom 40%,Bottom 30%,Top 5%,Bottom 40%
308,Bottom 10%,Top 20%,Bottom 20%,Top 10%,Bottom 20%
309,Bottom 10%,Bottom 40%,Bottom 20%,Top 10%,Bottom 20%
310,Bottom 5%,Top 20%,Bottom 40%,Top 10%,Bottom 30%
311,Bottom 5%,Top 20%,Bottom 40%,Top 30%,Bottom 40%
312,Bottom 20%,Top 10%,Bottom 10%,Top 10%,Bottom 10%
313,Top 40%,Top 20%,Top 40%,Top 40%,Top 40%
314,Bottom 50%,Top 20%,Bottom 40%,Top 30%,Bottom 40%
315,Bottom 20%,Top 20%,Bottom 5%,Top 5%,Bottom 5%
316,Top 10%,Bottom 5%,Bottom 40%,Bottom 50%,Bottom 30%
317,Top 20%,Bottom 40%,Bottom 40%,Top 40%,Bottom 30%
318,Bottom 30%,Top 20%,Bottom 20%,Top 20%,Bottom 10%
319,Top 40%,Bottom 40%,Bottom 30%,Top 30%,Bottom 20%
320,Bottom 30%,Bottom 40%,Bottom 40%,Top 30%,Bottom 30%
321,Top 40%,Bottom 40%,Bottom 40%,Top 40%,Bottom 50%
322,Bottom 40%,Top 20%,Bottom 40%,Top 30%,Bottom 50%
323,Bottom 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%
324,Top 40%,Bottom 40%,Bottom 40%,Top 40%,Bottom 30%
325,Bottom 40%,Top 20%,Bottom 40%,Top 20%,Bottom 40%
326,Bottom 30%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%
327,Bottom 5%,Bottom 40%,Top 40%,Top 20%,Bottom 50%
328,Bottom 20%,Top 20%,Bottom 5%,Top 5%,Bottom 5%
329,Bottom 5%,Bottom 40%,Bottom 40%,Top 10%,Bottom 40%
330,Bottom 10%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%
331,Bottom 40%,Top 20%,Bottom 20%,Top 10%,Bottom 20%
332,Bottom 20%,Top 20%,Top 40%,Top 40%,Top 50%
333,Bottom 50%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%
334,Top 20%,Bottom 40%,Bottom 10%,Bottom 40%,Bottom 10%
335,Top 20%,Bottom 40%,Bottom 40%,Bottom 30%,Bottom 40%
336,Bottom 20%,Bottom 30%,Bottom 40%,Top 5%,Bottom 30%
337,Bottom 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 10%
338,Top 20%,Bottom 5%,Bottom 5%,Top 20%,Bottom 5%
339,Top 40%,Bottom 40%,Bottom 20%,Top 30%,Bottom 20%
340,Bottom 30%,Top 20%,Bottom 20%,Top 20%,Bottom 20%
341,Top 40%,Top 20%,Bottom 40%,Top 30%,Bottom 40%
342,Bottom 10%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 30%
343,Bottom 10%,Bottom 40%,Bottom 40%,Top 20%,Bottom 30%
344,Bottom 10%,Top 20%,Bottom 10%,Top 5%,Bottom 20%
345,Bottom 30%,Top 20%,Bottom 40%,Top 40%,Bottom 40%
346,Bottom 30%,Bottom 40%,Bottom 5%,Top 5%,Bottom 5%
347,Top 10%,Bottom 40%,Bottom 10%,Bottom 40%,Bottom 20%
348,Top 20%,Top 5%,Bottom 40%,Bottom 50%,Bottom 50%
349,Bottom 40%,Top 20%,Bottom 40%,Top 40%,Bottom 40%
350,Bottom 20%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%
351,Bottom 5%,Bottom 40%,Top 40%,Top 10%,Top 40%
352,Bottom 40%,Bottom 40%,Top 40%,Bottom 30%,Bottom 50%
353,Bottom 5%,Bottom 5%,Bottom 40%,Top 10%,Bottom 40%
354,Top 30%,Top 20%,Bottom 5%,Top 20%,Bottom 5%
355,Bottom 40%,Bottom 40%,Bottom 40%,Top 20%,Bottom 40%
356,Bottom 40%,Bottom 40%,Bottom 40%,Top 20%,Bottom 40%
357,Bottom 40%,Bottom 40%,Bottom 5%,Top 20%,Bottom 5%
358,Bottom 10%,Bottom 40%,Bottom 10%,Top 20%,Bottom 20%
359,Bottom 5%,Top 20%,Bottom 40%,Top 20%,Bottom 50%
360,Top 40%,Top 20%,Bottom 40%,Top 30%,Bottom 30%
361,Top 20%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%
362,Bottom 30%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%
