,emp_ID,department,promoted,review,projects,salary,tenure,satisfaction,bonus,avg_hrs_month,left
63,63,Retail,Not Promoted,0.7279219788557134,3,Medium,6,0.4455885951368297,No Bonus,183.97675249847322,Stayed
64,64,Retail,Not Promoted,0.5818339178865073,3,Medium,6,0.7059293080693751,No Bonus,181.5170811494228,Stayed
65,65,Marketing,Not Promoted,0.7581250570071507,4,High,6,0.4839624778516265,No Bonus,183.52965709323638,Stayed
66,66,Support,Not Promoted,0.5996272226428738,4,Medium,5,0.6179643550929421,No Bonus,180.37047935189273,Stayed
67,67,Sales,Not Promoted,0.6302537440906564,3,Medium,6,0.7019115302351766,Bonus,183.88509505531368,Stayed
68,68,Retail,Not Promoted,0.6941766694742801,4,Low,7,0.5590706103183779,No Bonus,185.44514507094704,Stayed
69,69,Sales,Not Promoted,0.6749083019142594,3,High,5,0.6443585907088868,No Bonus,179.81747353065282,Stayed
70,70,Finance,Not Promoted,0.6064152435270025,3,Medium,5,0.623611325982221,No Bonus,180.53471542946565,Stayed
71,71,Sales,Not Promoted,0.4943911574471443,4,High,7,0.6963904452122632,No Bonus,187.21500076281524,Stayed
72,72,Retail,Not Promoted,0.5902746308152541,4,Medium,6,0.7632627410077015,No Bonus,182.30212303767345,Stayed
73,73,Retail,Not Promoted,0.5957572512465289,2,Medium,6,0.6991938651433708,No Bonus,181.83156325669626,Stayed
74,74,Retail,Not Promoted,0.5650767645381838,3,Medium,6,0.7290637610723643,No Bonus,182.49649801732485,Stayed
75,75,Engineering,Not Promoted,0.6904750144658741,3,High,5,0.5345648311817168,No Bonus,178.80365543576244,Stayed
76,76,Engineering,Not Promoted,0.5462517512117843,3,Medium,6,0.8241731329801966,No Bonus,184.16901089166592,Stayed
77,77,Operations,Not Promoted,0.6298036483938846,4,Medium,6,0.4752831630840494,No Bonus,183.22061167530987,Stayed
78,78,Retail,Not Promoted,0.7213523017665353,3,Medium,8,0.2345721530228146,Bonus,189.2176507140535,Stayed
79,79,Sales,Not Promoted,0.659463146182729,3,Low,6,0.6092952488874009,No Bonus,183.42541188010742,Stayed
80,80,Operations,Not Promoted,0.5835229700353167,3,Low,5,0.6638017656086639,No Bonus,179.32513637058852,Stayed
81,81,Retail,Not Promoted,0.640763303810488,4,Medium,6,0.6265554470926087,No Bonus,182.60982984642243,Stayed
82,82,Engineering,Not Promoted,0.7266539131146057,4,Medium,5,0.4919927807813877,No Bonus,179.82901972290819,Stayed
83,83,Operations,Not Promoted,0.5514147080511279,3,High,5,0.7341318122490837,No Bonus,180.69566065204984,Stayed
84,84,Engineering,Not Promoted,0.7831950944683829,2,Medium,5,0.5903791182228202,No Bonus,179.28507047556957,Stayed
85,85,Operations,Not Promoted,0.5740234546869515,3,Medium,4,0.6755101340795875,No Bonus,178.43067761797246,Stayed
86,86,Engineering,Not Promoted,0.6739540289731378,3,Medium,5,0.4874028788367486,No Bonus,181.2758715576236,Stayed
87,87,Admin,Not Promoted,0.6335473885037972,3,Medium,5,0.7022003463641063,No Bonus,181.0410083188854,Stayed
88,88,Support,Not Promoted,0.656076740856244,3,Medium,5,0.7554210168682589,No Bonus,179.1327503941674,Stayed
89,89,Retail,Not Promoted,0.6743846373629141,3,Medium,5,0.7094055634064665,No Bonus,181.0763202763193,Stayed
90,90,Finance,Not Promoted,0.7560068886681095,4,Medium,5,0.5702388347774728,Bonus,180.02418204756432,Stayed
91,91,Sales,Not Promoted,0.6367145206020982,3,Low,5,0.4981478517370149,No Bonus,180.45038578909862,Stayed
92,92,Admin,Not Promoted,0.7255226419493962,3,Medium,4,0.6081202502632986,No Bonus,177.62097859878205,Stayed
93,93,Retail,Not Promoted,0.718663617611256,3,High,7,0.3782066781858636,No Bonus,186.2045973853056,Stayed
94,94,Support,Not Promoted,0.7258824811330851,3,Low,5,0.4719599822348036,Bonus,178.82734498440567,Stayed
95,95,Support,Not Promoted,0.659237939585775,3,Medium,6,0.5647981815212513,No Bonus,183.0628978182084,Stayed
96,96,Engineering,Not Promoted,0.7734318004056238,3,Medium,5,0.4640044072594674,No Bonus,180.7245365167548,Stayed
97,97,Retail,Not Promoted,0.7045833204112006,4,Medium,5,0.478204506002766,Bonus,180.4113408327516,Stayed
98,98,Engineering,Not Promoted,0.6222349510572694,3,Medium,6,0.5906703352595705,No Bonus,184.15056732193932,Stayed
99,99,Engineering,Not Promoted,0.6748799851224716,3,High,6,0.4076663080031311,No Bonus,181.9732257121603,Stayed
100,100,Support,Not Promoted,0.6040449551759429,4,Medium,5,0.5813405518632789,Bonus,178.94674190242972,Stayed
101,101,Engineering,Not Promoted,0.5495783723498346,3,High,4,0.747057567817634,No Bonus,177.68684739756125,Stayed
102,102,Retail,Not Promoted,0.5896160520008373,3,High,5,0.7560794400474352,Bonus,179.72362274618592,Stayed
103,103,Engineering,Not Promoted,0.5605454678554258,4,Medium,6,0.5995060996438233,No Bonus,182.26860226652042,Stayed
104,104,Operations,Not Promoted,0.6758171863245896,4,Medium,7,0.5434082176262496,No Bonus,185.10644469378232,Stayed
105,105,Retail,Not Promoted,0.6334526528539983,3,Medium,6,0.4791498328895311,No Bonus,183.88081288205325,Stayed
106,106,Engineering,Not Promoted,0.5412082466774499,4,Medium,6,0.6889846839750063,No Bonus,184.0884808609054,Stayed
107,107,Engineering,Not Promoted,0.6180289659992109,3,Medium,6,0.5770427724643556,No Bonus,184.2212962886908,Stayed
108,108,Sales,Not Promoted,0.5560845860108279,3,High,6,0.7917711053248854,No Bonus,183.91050625659332,Stayed
109,109,Logistics,Not Promoted,0.7314649854706894,4,Medium,5,0.5508623180194534,No Bonus,180.9269150261657,Stayed
110,110,Retail,Not Promoted,0.5741259375847305,4,Medium,5,0.7508269539146248,No Bonus,178.56275578179566,Stayed
111,111,Finance,Not Promoted,0.6910522495755831,3,Medium,6,0.4923885536809416,No Bonus,181.91697592647552,Stayed
112,112,Sales,Not Promoted,0.6423473264138051,3,High,4,0.6525952407416522,No Bonus,178.420582994782,Stayed
113,113,Marketing,Not Promoted,0.6236180117537999,4,Medium,6,0.6049167867687012,No Bonus,184.25646441796212,Stayed
114,114,Operations,Not Promoted,0.8058613797640772,4,Medium,4,0.4484124690740397,Bonus,175.6801486551425,Stayed
115,115,Retail,Not Promoted,0.6017742866163254,4,Medium,5,0.6822293707844681,No Bonus,181.0850493563929,Stayed
116,116,Engineering,Not Promoted,0.628837956218173,2,Medium,5,0.6191978477203144,Bonus,179.87336413300983,Stayed
117,117,Sales,Not Promoted,0.6099735324154806,3,Medium,5,0.6277987442959476,No Bonus,180.70452662270256,Stayed
118,118,Support,Not Promoted,0.6997039675470733,3,Medium,6,0.4888630566062618,No Bonus,183.05838331087398,Stayed
119,119,Operations,Not Promoted,0.43451630372972205,4,Low,6,0.8383910152623749,No Bonus,183.02899811782524,Stayed
120,120,Retail,Not Promoted,0.6058321767685826,3,Medium,6,0.5670770620159181,No Bonus,182.80695326277768,Stayed
121,121,Marketing,Not Promoted,0.6613036472804323,3,Medium,6,0.566538172277678,No Bonus,182.64782979080908,Stayed
122,122,Retail,Not Promoted,0.5480668229438949,2,Low,5,0.7977259537560294,No Bonus,181.13701976714387,Stayed
123,123,Admin,Not Promoted,0.6395440938360346,2,Medium,5,0.6713733615712439,No Bonus,181.07220251036318,Stayed
124,124,Operations,Not Promoted,0.6946473437459838,4,High,5,0.6851515863755511,No Bonus,179.4753991491163,Stayed
125,125,Logistics,Not Promoted,0.6268389126612676,4,Medium,6,0.5656159479957132,No Bonus,183.63524036817554,Stayed
126,126,Logistics,Not Promoted,0.6661448055915646,3,Medium,5,0.5825466429609883,No Bonus,179.65967150096992,Stayed
127,127,Retail,Not Promoted,0.6154636922543126,3,Medium,4,0.7024120546232284,No Bonus,177.1767215963909,Stayed
128,128,Retail,Not Promoted,0.4271741112298803,3,Medium,6,0.9919070236042186,No Bonus,181.66099850507283,Stayed
129,129,Operations,Not Promoted,0.7358824736283411,2,Medium,5,0.5928171659023008,No Bonus,180.8653965363533,Stayed
130,130,Retail,Not Promoted,0.5948500438510151,2,Medium,5,0.6800838649448865,No Bonus,180.47991972430282,Stayed
131,131,Retail,Promoted,0.6563845752631732,3,Medium,6,0.53963437133256,No Bonus,183.86298960057158,Stayed
132,132,Retail,Not Promoted,0.6071072196074694,3,High,6,0.6316603305565328,No Bonus,183.8701067548645,Stayed
133,133,Support,Not Promoted,0.5996809130431202,4,Medium,5,0.5324060603451649,No Bonus,179.3347042649726,Stayed
134,134,Sales,Not Promoted,0.6018206325878508,3,Medium,6,0.6782355611179549,No Bonus,182.96582796721447,Stayed
135,135,Engineering,Not Promoted,0.6687834400670372,3,High,7,0.5136936289861903,No Bonus,185.58027853467652,Stayed
136,136,Sales,Not Promoted,0.5626745492266181,3,Medium,5,0.8027149032197659,No Bonus,180.50598862460203,Stayed
137,137,Engineering,Not Promoted,0.6792588762318785,4,Medium,6,0.6006968621335633,No Bonus,181.81566619290132,Stayed
138,138,Engineering,Not Promoted,0.7274415715079883,3,High,5,0.4372666129979558,Bonus,180.60467934432882,Stayed
139,139,Marketing,Not Promoted,0.6503161958997038,4,Medium,4,0.7813720759367363,No Bonus,176.391829087945,Stayed
140,140,Operations,Not Promoted,0.7302097590088579,3,Medium,6,0.5222927726058118,No Bonus,181.7689319924676,Stayed
141,141,Logistics,Not Promoted,0.4570567421766511,3,Medium,6,0.7599862082867318,Bonus,182.00493314621974,Stayed
142,142,Finance,Not Promoted,0.6464661285970121,3,Medium,5,0.6427702489064834,No Bonus,180.41353820995806,Stayed
143,143,Finance,Not Promoted,0.6441574020210763,3,Medium,5,0.5611064094557764,No Bonus,179.3499385933117,Stayed
144,144,Support,Not Promoted,0.6816056822839931,2,Medium,6,0.4434141649652221,No Bonus,182.53386026565602,Stayed
145,145,Sales,Not Promoted,0.7599903038612739,3,Medium,5,0.4896729605124138,No Bonus,180.7019945608012,Stayed
146,146,IT,Not Promoted,0.6579719063264036,3,Medium,5,0.7811138070033862,No Bonus,179.1963728990641,Stayed
147,147,Retail,Not Promoted,0.6308447103741244,3,Medium,7,0.6461634948124229,No Bonus,184.65708988961174,Stayed
148,148,IT,Not Promoted,0.5182798830244124,4,Medium,7,0.7447715251592804,No Bonus,185.2707738470626,Stayed
149,149,Operations,Not Promoted,0.7118600406797606,3,Low,6,0.4854606042981071,Bonus,182.01750711487546,Stayed
150,150,Operations,Not Promoted,0.5895807852412109,3,Medium,7,0.5716624791047614,No Bonus,186.34103287170453,Stayed
151,151,Retail,Not Promoted,0.6556690418239708,3,Medium,4,0.6749753305861791,Bonus,177.1959795151814,Stayed
152,152,Sales,Not Promoted,0.6119084884846685,3,Medium,5,0.627946078118699,No Bonus,181.44965336043705,Stayed
153,153,Operations,Not Promoted,0.6870135767754686,4,Medium,5,0.5466043442129727,No Bonus,179.95661251319356,Stayed
154,154,Operations,Not Promoted,0.6758522770060597,3,Medium,6,0.5163853675138159,No Bonus,181.66839987775663,Stayed
155,155,Sales,Promoted,0.6933541259107331,3,High,6,0.4377951806300229,No Bonus,183.18107728764235,Stayed
156,156,Engineering,Not Promoted,0.6833372484658717,3,Medium,7,0.5139743475971604,Bonus,185.5264040634716,Stayed
157,157,Retail,Not Promoted,0.8321200934922928,4,Medium,6,0.380192762295004,No Bonus,182.16082262579917,Stayed
158,158,Retail,Not Promoted,0.526808920779274,4,Medium,6,0.7373360343797016,No Bonus,182.66450719384983,Stayed
159,159,Engineering,Not Promoted,0.5817618744515756,3,Medium,5,0.6950857591487465,No Bonus,179.462400263686,Stayed
160,160,IT,Not Promoted,0.5588428019566352,4,High,6,0.6842944636990981,Bonus,183.508502164827,Stayed
161,161,Sales,Not Promoted,0.6005708856863603,2,Medium,5,0.7809672335002659,No Bonus,178.83567818059066,Stayed
162,162,Retail,Promoted,0.6530205332190744,3,Medium,5,0.6064422550777926,No Bonus,180.1409775735482,Stayed
163,163,Sales,Not Promoted,0.6138644186592825,3,Low,6,0.5699497310784368,No Bonus,182.84839461353943,Stayed
164,164,Sales,Not Promoted,0.5465112274646348,4,Medium,6,0.6302877938472715,No Bonus,183.19401727712162,Stayed
165,165,Retail,Not Promoted,0.6601618456326135,3,Medium,7,0.4901162586700466,No Bonus,186.58554273178063,Stayed
166,166,IT,Not Promoted,0.62518146473145,3,Low,6,0.5614854675756131,No Bonus,182.4243531843861,Stayed
167,167,Sales,Not Promoted,0.6351164399593308,3,Medium,5,0.612545694505717,Bonus,181.10648353677692,Stayed
168,168,Operations,Not Promoted,0.7389809179591481,4,Medium,6,0.5202210394595163,Bonus,182.7286480686877,Stayed
169,169,Support,Not Promoted,0.6323681752187731,3,Medium,5,0.6849457851597536,Bonus,180.953004543328,Stayed
170,170,Retail,Not Promoted,0.6090389728038141,3,Medium,6,0.6887023816591348,No Bonus,183.7588350503389,Stayed
171,171,Engineering,Not Promoted,0.6883355915345071,3,Medium,6,0.4175386600630696,No Bonus,183.7053526557901,Stayed
172,172,Support,Not Promoted,0.735177763822416,3,Low,5,0.48774047969130896,No Bonus,179.713513794392,Stayed
173,173,Operations,Not Promoted,0.5553361698572742,4,High,6,0.7357548419388341,No Bonus,182.79266613097263,Stayed
174,174,Retail,Not Promoted,0.5909606019032898,3,Medium,4,0.7062123801305439,No Bonus,177.36036592875126,Stayed
175,175,Operations,Not Promoted,0.6364953213559368,3,High,6,0.579998956613592,No Bonus,183.964569091586,Stayed
176,176,Marketing,Not Promoted,0.6547030528828943,4,Medium,5,0.5412369033641841,No Bonus,180.48982354572053,Stayed
177,177,Support,Not Promoted,0.7126122493755415,4,Low,5,0.5748958306912192,No Bonus,179.92355547002072,Stayed
178,178,Operations,Not Promoted,0.5835514230935417,3,High,6,0.5577312909210355,Bonus,183.00054583637132,Stayed
179,179,Sales,Not Promoted,0.6409175890468402,4,Medium,5,0.6548527558312939,No Bonus,180.28406295630603,Stayed
180,180,Engineering,Not Promoted,0.7523143597773794,4,High,5,0.5265482642735241,No Bonus,179.69067568506733,Stayed
181,181,Finance,Not Promoted,0.6655537799263611,4,High,6,0.5381384520882231,No Bonus,181.62333550918385,Stayed
182,182,Engineering,Promoted,0.6248158462304212,3,Medium,6,0.6676444052060929,No Bonus,182.44634669606305,Stayed
183,183,Support,Not Promoted,0.5144486555446851,3,Medium,6,0.7986583430110082,No Bonus,181.7830031051909,Stayed
184,184,Marketing,Not Promoted,0.5800323802865766,3,Medium,6,0.5733585449056385,No Bonus,183.98431795270685,Stayed
185,185,Marketing,Not Promoted,0.5737541945888365,4,High,5,0.6330206420909839,No Bonus,181.0462526822074,Stayed
186,186,Sales,Not Promoted,0.7313495091746889,3,Low,4,0.6266208868072273,No Bonus,178.23842533925904,Stayed
187,187,Retail,Not Promoted,0.7886143646744378,4,Low,6,0.4147065690944191,No Bonus,183.17681873199177,Stayed
188,188,Operations,Not Promoted,0.5997112739597965,2,Medium,7,0.6870635141227104,Bonus,185.2204210811392,Stayed
189,189,Marketing,Not Promoted,0.7302912903318937,3,Medium,6,0.5555685598089313,No Bonus,182.6926245511412,Stayed
190,190,Engineering,Not Promoted,0.6482563553009419,4,Medium,5,0.5707518490548922,No Bonus,181.0345585944719,Stayed
191,191,Engineering,Not Promoted,0.6901933444530924,2,Medium,6,0.5236874431566894,No Bonus,182.2017805911161,Stayed
192,192,Operations,Not Promoted,0.5615062851029464,3,Medium,6,0.6759666243112498,No Bonus,182.52457133951225,Stayed
193,193,Operations,Not Promoted,0.6364861383626537,4,Low,6,0.557762177519688,No Bonus,182.30888489603217,Stayed
194,194,Engineering,Not Promoted,0.5928039090712981,3,Medium,7,0.6817603714868556,No Bonus,184.7135977374504,Stayed
195,195,Operations,Not Promoted,0.4913513985649561,3,Medium,5,0.8136426869264192,No Bonus,178.98139161714414,Stayed
196,196,Engineering,Not Promoted,0.6867443266858198,3,Medium,5,0.5845760082891068,No Bonus,181.43749821727482,Stayed
197,197,Engineering,Not Promoted,0.4775933233557873,3,Medium,7,0.7031869785845549,No Bonus,185.4152180459565,Stayed
198,198,Marketing,Not Promoted,0.5754889936219997,3,Low,6,0.486451855227663,No Bonus,184.36771459056598,Stayed
199,199,Marketing,Not Promoted,0.5748357925949864,3,High,6,0.7666546036536325,No Bonus,182.42243362149804,Stayed
200,200,Finance,Not Promoted,0.6767185114948905,3,Medium,6,0.5554335133340479,No Bonus,182.12083165165745,Stayed
201,201,Retail,Not Promoted,0.6831592280366495,4,Medium,6,0.5459154775868915,No Bonus,182.41474026667763,Stayed
202,202,Sales,Not Promoted,0.6358727602927718,3,Medium,4,0.668412838927622,No Bonus,178.45848901316552,Stayed
203,203,Engineering,Promoted,0.5575173925336143,4,Medium,5,0.7405308223289921,Bonus,178.68863704770325,Stayed
204,204,IT,Not Promoted,0.5915707760198988,3,Medium,6,0.6563683490091617,No Bonus,182.82916621807547,Stayed
205,205,Sales,Not Promoted,0.6148743595621755,2,Low,5,0.681510944594644,Bonus,179.0215672574934,Stayed
206,206,Engineering,Not Promoted,0.6097478667420738,4,Medium,4,0.7625674975406456,No Bonus,177.29126771983087,Stayed
207,207,Sales,Not Promoted,0.6785283631223838,3,High,5,0.7049066963325166,No Bonus,180.64865326347646,Stayed
208,208,Marketing,Not Promoted,0.7045432588346316,3,Medium,5,0.4478387134453442,Bonus,179.57010417146483,Stayed
209,209,Retail,Not Promoted,0.6894006861806139,4,High,7,0.5689796108666609,No Bonus,184.99842064168624,Stayed
210,210,Operations,Not Promoted,0.6100852335974569,4,Medium,7,0.5616120468636963,Bonus,186.99944715763482,Stayed
211,211,IT,Not Promoted,0.5415989399547599,4,Medium,7,0.6804927812758927,No Bonus,185.7314201629932,Stayed
212,212,Sales,Not Promoted,0.6204023204838538,3,Medium,5,0.7365933427054148,No Bonus,179.36569429792863,Stayed
213,213,Retail,Not Promoted,0.6911911199057941,4,Medium,6,0.5079559847166261,No Bonus,181.82150678879208,Stayed
214,214,Sales,Not Promoted,0.5784365010641309,4,Low,5,0.6952458137853466,Bonus,180.7511205562983,Stayed
215,215,Retail,Not Promoted,0.544026373320025,3,Medium,6,0.6174841676917466,No Bonus,181.98960781618808,Stayed
216,216,Engineering,Not Promoted,0.6827156745057521,3,Low,6,0.5572370799366796,Bonus,182.1162281126912,Stayed
217,217,Engineering,Not Promoted,0.7776090189451419,3,Medium,5,0.3740381551638222,No Bonus,181.12555034611717,Stayed
218,218,Engineering,Not Promoted,0.6255861309554711,3,Medium,6,0.7254691901521152,No Bonus,183.15931399659317,Stayed
219,219,Sales,Not Promoted,0.6991327221639402,3,Medium,5,0.6370527887425599,No Bonus,180.2585048155267,Stayed
220,220,Marketing,Not Promoted,0.5319201611435181,3,Medium,5,0.7156761157920385,No Bonus,180.0277616746372,Stayed
221,221,Admin,Not Promoted,0.6411618067173094,5,Medium,6,0.5090002429166001,No Bonus,181.62993361148608,Stayed
222,222,Support,Not Promoted,0.6482711218935862,4,Medium,5,0.5404972964050498,No Bonus,180.12602350848312,Stayed
223,223,Support,Not Promoted,0.7403838352544363,4,High,5,0.6733652973890485,No Bonus,180.67485720550744,Stayed
224,224,Retail,Not Promoted,0.6488550160590152,3,Medium,4,0.6895681348836445,No Bonus,178.47353978368648,Stayed
225,225,Sales,Not Promoted,0.6081434134336772,3,High,6,0.6671216544141001,No Bonus,184.11263091494843,Stayed
226,226,Operations,Not Promoted,0.5646047905483389,3,Medium,6,0.7382720775205384,Bonus,182.05629275326262,Stayed
227,227,Engineering,Not Promoted,0.5875872219686489,4,Medium,5,0.7195504081211432,No Bonus,181.31890713190018,Stayed
228,228,Operations,Promoted,0.6581247325477237,3,Medium,6,0.5925415132841864,No Bonus,183.21730876617082,Stayed
229,229,Sales,Not Promoted,0.5389116600535222,4,Medium,5,0.8354028802594423,No Bonus,179.54426175086147,Stayed
230,230,Retail,Not Promoted,0.6512376589579814,3,Low,7,0.4857071405580582,No Bonus,184.56734456361028,Stayed
231,231,Finance,Not Promoted,0.6242877849914124,5,Medium,7,0.5118771609025925,No Bonus,184.9995687200635,Stayed
232,232,Marketing,Not Promoted,0.6498259168331451,3,Medium,6,0.5460203390644787,Bonus,183.26847845027748,Stayed
233,233,Operations,Not Promoted,0.5930873534606673,3,Medium,6,0.5887079450906473,Bonus,181.58405918239328,Stayed
