,review,projects,tenure,satisfaction,avg_hrs_month,emp_ID
83,Bottom 10%,Bottom 40%,Bottom 20%,Top 10%,Bottom 20%,83
84,Top 10%,Bottom 5%,Bottom 20%,Top 30%,Bottom 10%,84
85,Bottom 20%,Bottom 40%,Bottom 5%,Top 20%,Bottom 10%,85
86,Top 40%,Bottom 40%,Bottom 20%,Bottom 50%,Bottom 20%,86
87,Bottom 50%,Bottom 40%,Bottom 20%,Top 10%,Bottom 20%,87
88,Top 40%,Bottom 40%,Bottom 10%,Top 5%,Bottom 10%,88
89,Top 40%,Bottom 40%,Bottom 10%,Top 10%,Bottom 20%,89
90,Top 10%,Top 20%,Bottom 20%,Top 30%,Bottom 10%,90
91,Bottom 40%,Bottom 30%,Bottom 20%,Bottom 50%,Bottom 20%,91
92,Top 20%,Bottom 40%,Bottom 5%,Top 30%,Bottom 5%,92
93,Top 20%,Bottom 40%,Top 40%,Bottom 20%,Top 40%,93
94,Top 20%,Bottom 40%,Bottom 20%,Bottom 50%,Bottom 10%,94
95,Top 40%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%,95
96,Top 10%,Bottom 40%,Bottom 20%,Bottom 40%,Bottom 20%,96
97,Top 20%,Top 20%,Bottom 10%,Bottom 50%,Bottom 10%,97
98,Bottom 40%,Bottom 40%,Bottom 40%,Top 30%,Bottom 50%,98
99,Top 30%,Bottom 40%,Bottom 40%,Bottom 30%,Bottom 30%,99
100,Bottom 30%,Top 20%,Bottom 10%,Top 30%,Bottom 10%,100
101,Bottom 10%,Bottom 40%,Bottom 5%,Top 10%,Bottom 5%,101
102,Bottom 20%,Bottom 40%,Bottom 10%,Top 5%,Bottom 10%,102
103,Bottom 20%,Top 20%,Bottom 40%,Top 30%,Bottom 30%,103
104,Top 40%,Top 20%,Top 40%,Top 40%,Top 50%,104
105,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 50%,Bottom 50%,105
106,Bottom 10%,Top 20%,Bottom 40%,Top 10%,Bottom 50%,106
107,Bottom 40%,Bottom 40%,Bottom 40%,Top 30%,Bottom 50%,107
108,Bottom 10%,Bottom 40%,Bottom 40%,Top 5%,Bottom 40%,108
109,Top 20%,Top 20%,Bottom 20%,Top 40%,Bottom 20%,109
110,Bottom 20%,Top 20%,Bottom 10%,Top 10%,Bottom 5%,110
111,Top 30%,Bottom 40%,Bottom 40%,Top 50%,Bottom 30%,111
112,Top 50%,Bottom 40%,Bottom 5%,Top 20%,Bottom 10%,112
113,Bottom 40%,Top 20%,Bottom 40%,Top 30%,Top 50%,113
114,Top 5%,Top 20%,Bottom 5%,Bottom 40%,Bottom 5%,114
115,Bottom 30%,Top 20%,Bottom 10%,Top 10%,Bottom 20%,115
116,Bottom 40%,Bottom 5%,Bottom 20%,Top 20%,Bottom 10%,116
117,Bottom 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%,117
118,Top 20%,Bottom 40%,Bottom 40%,Bottom 50%,Bottom 40%,118
119,Bottom 5%,Top 20%,Bottom 40%,Top 5%,Bottom 40%,119
120,Bottom 30%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%,120
121,Top 50%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%,121
122,Bottom 10%,Bottom 5%,Bottom 20%,Top 5%,Bottom 20%,122
123,Bottom 50%,Bottom 5%,Bottom 20%,Top 20%,Bottom 20%,123
124,Top 30%,Top 10%,Bottom 20%,Top 10%,Bottom 10%,124
125,Bottom 40%,Top 20%,Bottom 40%,Top 30%,Bottom 40%,125
126,Top 40%,Bottom 40%,Bottom 20%,Top 30%,Bottom 10%,126
127,Bottom 40%,Bottom 40%,Bottom 5%,Top 10%,Bottom 5%,127
128,Bottom 5%,Bottom 40%,Bottom 40%,Top 5%,Bottom 20%,128
129,Top 20%,Bottom 5%,Bottom 20%,Top 30%,Bottom 20%,129
130,Bottom 30%,Bottom 5%,Bottom 10%,Top 10%,Bottom 20%,130
131,Top 40%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%,131
132,Bottom 30%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%,132
133,Bottom 30%,Top 20%,Bottom 10%,Top 40%,Bottom 10%,133
134,Bottom 30%,Bottom 40%,Bottom 40%,Top 10%,Bottom 40%,134
135,Top 40%,Bottom 40%,Top 40%,Top 40%,Top 40%,135
136,Bottom 10%,Bottom 40%,Bottom 20%,Top 5%,Bottom 20%,136
137,Top 40%,Top 20%,Bottom 40%,Top 30%,Bottom 30%,137
138,Top 20%,Bottom 40%,Bottom 20%,Bottom 40%,Bottom 20%,138
139,Top 50%,Top 20%,Bottom 5%,Top 5%,Bottom 5%,139
140,Top 20%,Bottom 40%,Bottom 40%,Top 50%,Bottom 30%,140
141,Bottom 5%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%,141
142,Bottom 40%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%,142
143,Bottom 40%,Bottom 40%,Bottom 20%,Top 30%,Bottom 10%,143
144,Top 30%,Bottom 5%,Bottom 40%,Bottom 40%,Bottom 30%,144
145,Top 10%,Bottom 40%,Bottom 20%,Bottom 50%,Bottom 20%,145
146,Top 40%,Bottom 40%,Bottom 10%,Top 10%,Bottom 10%,146
147,Bottom 40%,Bottom 40%,Top 40%,Top 20%,Top 50%,147
148,Bottom 10%,Top 20%,Top 40%,Top 10%,Top 50%,148
149,Top 20%,Bottom 40%,Bottom 40%,Bottom 50%,Bottom 30%,149
150,Bottom 20%,Bottom 40%,Top 40%,Top 30%,Top 40%,150
151,Top 50%,Bottom 40%,Bottom 5%,Top 20%,Bottom 5%,151
152,Bottom 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 30%,152
153,Top 30%,Top 20%,Bottom 20%,Top 40%,Bottom 10%,153
154,Top 40%,Bottom 40%,Bottom 40%,Top 50%,Bottom 30%,154
155,Top 30%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 40%,155
156,Top 30%,Bottom 40%,Top 40%,Top 50%,Top 40%,156
157,Top 5%,Top 20%,Bottom 40%,Bottom 30%,Bottom 30%,157
158,Bottom 10%,Top 20%,Bottom 40%,Top 10%,Bottom 40%,158
159,Bottom 20%,Bottom 40%,Bottom 20%,Top 10%,Bottom 10%,159
160,Bottom 20%,Top 20%,Bottom 40%,Top 20%,Bottom 50%,160
161,Bottom 30%,Bottom 5%,Bottom 20%,Top 5%,Bottom 10%,161
162,Top 50%,Bottom 40%,Bottom 10%,Top 30%,Bottom 10%,162
163,Bottom 30%,Bottom 30%,Bottom 40%,Top 40%,Bottom 40%,163
164,Bottom 10%,Top 20%,Bottom 40%,Top 20%,Bottom 40%,164
165,Top 40%,Bottom 40%,Top 40%,Bottom 50%,Top 40%,165
166,Top 50%,Bottom 30%,Bottom 40%,Top 30%,Bottom 30%,166
167,Bottom 50%,Bottom 40%,Bottom 20%,Top 30%,Bottom 20%,167
168,Top 10%,Top 20%,Bottom 40%,Top 50%,Bottom 30%,168
169,Bottom 40%,Bottom 40%,Bottom 10%,Top 10%,Bottom 20%,169
170,Bottom 30%,Bottom 40%,Bottom 40%,Top 10%,Bottom 40%,170
171,Top 30%,Bottom 40%,Bottom 40%,Bottom 30%,Bottom 40%,171
172,Top 20%,Bottom 40%,Bottom 20%,Top 50%,Bottom 20%,172
173,Bottom 10%,Top 10%,Bottom 40%,Top 10%,Bottom 40%,173
174,Bottom 30%,Bottom 40%,Bottom 5%,Top 10%,Bottom 5%,174
175,Bottom 40%,Bottom 40%,Bottom 40%,Top 30%,Bottom 50%,175
176,Top 50%,Top 20%,Bottom 20%,Top 40%,Bottom 20%,176
177,Top 20%,Top 10%,Bottom 20%,Top 30%,Bottom 20%,177
178,Bottom 20%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%,178
179,Bottom 50%,Top 20%,Bottom 20%,Top 20%,Bottom 20%,179
180,Top 10%,Top 20%,Bottom 20%,Top 40%,Bottom 10%,180
181,Top 50%,Top 20%,Bottom 40%,Top 40%,Bottom 30%,181
182,Bottom 40%,Bottom 40%,Bottom 40%,Top 20%,Bottom 30%,182
183,Bottom 5%,Bottom 40%,Bottom 40%,Top 5%,Bottom 30%,183
184,Bottom 20%,Bottom 40%,Bottom 40%,Top 40%,Bottom 50%,184
185,Bottom 10%,Top 20%,Bottom 20%,Top 20%,Bottom 20%,185
186,Top 20%,Bottom 30%,Bottom 5%,Top 20%,Bottom 5%,186
187,Top 10%,Top 20%,Bottom 40%,Bottom 30%,Bottom 40%,187
188,Bottom 30%,Bottom 5%,Top 40%,Top 10%,Top 50%,188
189,Top 20%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%,189
190,Top 50%,Top 20%,Bottom 20%,Top 30%,Bottom 20%,190
191,Top 30%,Bottom 5%,Bottom 40%,Top 40%,Bottom 30%,191
192,Bottom 10%,Bottom 40%,Bottom 40%,Top 20%,Bottom 30%,192
193,Bottom 40%,Top 20%,Bottom 40%,Top 40%,Bottom 30%,193
194,Bottom 30%,Bottom 40%,Top 40%,Top 20%,Top 50%,194
195,Bottom 5%,Bottom 40%,Bottom 20%,Top 5%,Bottom 10%,195
196,Top 30%,Bottom 40%,Bottom 20%,Top 30%,Bottom 20%,196
197,Bottom 5%,Bottom 40%,Top 40%,Top 10%,Top 40%,197
198,Bottom 20%,Bottom 40%,Bottom 40%,Bottom 50%,Bottom 50%,198
199,Bottom 20%,Bottom 40%,Bottom 40%,Top 5%,Bottom 40%,199
200,Top 40%,Bottom 40%,Bottom 40%,Top 30%,Bottom 30%,200
201,Top 30%,Top 20%,Bottom 40%,Top 40%,Bottom 30%,201
202,Bottom 50%,Bottom 40%,Bottom 5%,Top 20%,Bottom 10%,202
203,Bottom 10%,Top 20%,Bottom 20%,Top 10%,Bottom 10%,203
204,Bottom 30%,Bottom 40%,Bottom 30%,Top 20%,Bottom 30%,204
205,Bottom 30%,Bottom 5%,Bottom 20%,Top 10%,Bottom 10%,205
206,Bottom 30%,Top 20%,Bottom 5%,Top 10%,Bottom 5%,206
207,Top 30%,Bottom 40%,Bottom 20%,Top 10%,Bottom 20%,207
208,Top 30%,Bottom 40%,Bottom 20%,Bottom 40%,Bottom 10%,208
209,Top 30%,Top 10%,Top 40%,Top 40%,Top 50%,209
210,Bottom 30%,Top 20%,Top 40%,Top 40%,Top 30%,210
211,Bottom 10%,Top 20%,Top 40%,Top 20%,Top 50%,211
212,Bottom 40%,Bottom 40%,Bottom 20%,Top 10%,Bottom 10%,212
213,Top 30%,Top 20%,Bottom 40%,Top 50%,Bottom 30%,213
214,Bottom 20%,Top 20%,Bottom 20%,Top 10%,Bottom 20%,214
215,Bottom 10%,Bottom 40%,Bottom 40%,Top 30%,Bottom 30%,215
216,Top 40%,Bottom 40%,Bottom 40%,Top 40%,Bottom 30%,216
217,Top 10%,Bottom 40%,Bottom 20%,Bottom 20%,Bottom 20%,217
218,Bottom 40%,Bottom 40%,Bottom 40%,Top 10%,Bottom 40%,218
219,Top 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%,219
220,Bottom 10%,Bottom 40%,Bottom 20%,Top 10%,Bottom 10%,220
221,Bottom 50%,Top 5%,Bottom 40%,Bottom 50%,Bottom 30%,221
222,Top 50%,Top 20%,Bottom 10%,Top 40%,Bottom 10%,222
223,Top 20%,Top 20%,Bottom 20%,Top 20%,Bottom 20%,223
224,Top 50%,Bottom 40%,Bottom 5%,Top 10%,Bottom 5%,224
225,Bottom 40%,Bottom 40%,Bottom 40%,Top 20%,Bottom 40%,225
226,Bottom 10%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%,226
227,Bottom 20%,Top 20%,Bottom 20%,Top 10%,Bottom 20%,227
228,Top 50%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%,228
229,Bottom 10%,Top 20%,Bottom 20%,Top 5%,Bottom 10%,229
230,Bottom 50%,Bottom 40%,Top 40%,Bottom 40%,Bottom 50%,230
231,Bottom 30%,Top 5%,Top 40%,Top 40%,Top 40%,231
232,Top 50%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%,232
233,Bottom 30%,Bottom 40%,Bottom 40%,Top 30%,Bottom 20%,233
234,Top 50%,Top 20%,Top 40%,Bottom 50%,Top 30%,234
235,Bottom 50%,Bottom 40%,Bottom 20%,Top 30%,Bottom 20%,235
236,Bottom 10%,Top 20%,Bottom 40%,Top 5%,Bottom 40%,236
237,Bottom 10%,Bottom 40%,Top 40%,Top 20%,Top 30%,237
238,Bottom 50%,Bottom 10%,Bottom 20%,Top 20%,Bottom 30%,238
239,Top 40%,Top 20%,Bottom 40%,Top 40%,Bottom 30%,239
240,Bottom 20%,Top 20%,Bottom 10%,Top 10%,Bottom 5%,240
241,Top 30%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%,241
242,Top 40%,Bottom 30%,Bottom 20%,Top 30%,Bottom 30%,242
243,Top 10%,Bottom 40%,Top 40%,Bottom 10%,Top 50%,243
244,Bottom 30%,Bottom 40%,Bottom 5%,Top 5%,Bottom 10%,244
245,Bottom 50%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%,245
246,Bottom 50%,Top 20%,Bottom 20%,Top 20%,Bottom 30%,246
247,Bottom 40%,Bottom 40%,Bottom 10%,Top 30%,Bottom 10%,247
248,Top 40%,Bottom 40%,Bottom 20%,Top 30%,Bottom 10%,248
249,Bottom 40%,Bottom 40%,Bottom 5%,Top 20%,Bottom 10%,249
250,Bottom 40%,Bottom 40%,Bottom 20%,Top 10%,Bottom 20%,250
251,Top 40%,Bottom 40%,Bottom 5%,Top 20%,Bottom 5%,251
252,Top 30%,Bottom 5%,Bottom 5%,Top 10%,Bottom 5%,252
253,Bottom 30%,Bottom 40%,Bottom 20%,Top 30%,Bottom 20%,253
254,Top 20%,Bottom 40%,Bottom 10%,Top 50%,Bottom 10%,254
255,Bottom 30%,Bottom 40%,Bottom 40%,Top 50%,Bottom 40%,255
256,Top 50%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 20%,256
257,Bottom 40%,Bottom 40%,Top 40%,Top 30%,Top 50%,257
258,Top 10%,Top 20%,Bottom 20%,Top 50%,Bottom 10%,258
259,Bottom 10%,Top 10%,Bottom 40%,Top 10%,Bottom 40%,259
260,Bottom 20%,Top 20%,Bottom 40%,Top 10%,Bottom 30%,260
261,Bottom 10%,Bottom 40%,Bottom 40%,Top 5%,Bottom 30%,261
262,Bottom 30%,Bottom 40%,Bottom 5%,Top 10%,Bottom 5%,262
263,Top 20%,Top 20%,Bottom 40%,Bottom 20%,Bottom 40%,263
264,Bottom 5%,Bottom 40%,Bottom 40%,Top 5%,Bottom 50%,264
265,Bottom 20%,Bottom 30%,Bottom 40%,Top 30%,Top 50%,265
266,Bottom 40%,Top 20%,Top 40%,Top 40%,Top 50%,266
267,Bottom 20%,Bottom 40%,Top 40%,Top 20%,Top 50%,267
268,Bottom 10%,Top 20%,Bottom 5%,Top 20%,Bottom 5%,268
269,Top 5%,Bottom 40%,Bottom 40%,Bottom 10%,Bottom 40%,269
270,Bottom 20%,Top 20%,Bottom 40%,Top 40%,Bottom 50%,270
271,Top 30%,Bottom 40%,Bottom 40%,Bottom 50%,Bottom 40%,271
272,Top 40%,Bottom 40%,Bottom 20%,Top 40%,Bottom 10%,272
273,Bottom 30%,Bottom 40%,Bottom 20%,Top 5%,Bottom 10%,273
274,Top 40%,Top 20%,Bottom 5%,Top 20%,Bottom 5%,274
275,Top 10%,Top 20%,Bottom 40%,Bottom 20%,Bottom 50%,275
276,Bottom 40%,Top 20%,Bottom 10%,Top 20%,Bottom 20%,276
277,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%,Top 40%,277
278,Bottom 20%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%,278
279,Top 20%,Bottom 30%,Bottom 40%,Bottom 50%,Bottom 40%,279
280,Top 40%,Bottom 40%,Bottom 20%,Top 10%,Bottom 10%,280
281,Top 40%,Bottom 40%,Top 40%,Top 40%,Top 40%,281
282,Top 50%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%,282
283,Bottom 50%,Bottom 40%,Bottom 10%,Top 20%,Bottom 10%,283
284,Top 30%,Bottom 40%,Bottom 20%,Top 50%,Bottom 30%,284
285,Top 30%,Top 20%,Bottom 40%,Bottom 40%,Bottom 40%,285
286,Top 30%,Bottom 40%,Bottom 10%,Top 20%,Bottom 10%,286
287,Bottom 50%,Bottom 5%,Bottom 20%,Top 20%,Bottom 20%,287
288,Bottom 10%,Bottom 5%,Bottom 40%,Top 5%,Bottom 30%,288
289,Top 10%,Bottom 40%,Bottom 40%,Top 40%,Bottom 30%,289
290,Top 30%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%,290
291,Top 20%,Top 20%,Bottom 40%,Top 50%,Bottom 30%,291
292,Top 50%,Bottom 40%,Bottom 40%,Top 10%,Bottom 40%,292
293,Bottom 50%,Top 20%,Bottom 40%,Top 40%,Bottom 50%,293
294,Bottom 30%,Bottom 40%,Bottom 40%,Top 5%,Bottom 30%,294
295,Bottom 20%,Top 20%,Bottom 20%,Top 10%,Bottom 20%,295
296,Bottom 50%,Bottom 5%,Bottom 30%,Top 50%,Bottom 30%,296
297,Top 50%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%,297
298,Top 20%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 30%,298
299,Bottom 40%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%,299
300,Bottom 20%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%,300
301,Bottom 20%,Bottom 30%,Bottom 20%,Top 20%,Bottom 20%,301
302,Bottom 20%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%,302
303,Top 40%,Bottom 5%,Bottom 5%,Top 20%,Bottom 5%,303
304,Bottom 40%,Bottom 40%,Bottom 5%,Top 20%,Bottom 5%,304
305,Top 20%,Top 20%,Bottom 10%,Top 20%,Bottom 10%,305
306,Top 40%,Bottom 40%,Bottom 10%,Top 50%,Bottom 5%,306
307,Bottom 20%,Bottom 40%,Bottom 30%,Top 5%,Bottom 40%,307
308,Bottom 10%,Top 20%,Bottom 20%,Top 10%,Bottom 20%,308
309,Bottom 10%,Bottom 40%,Bottom 20%,Top 10%,Bottom 20%,309
310,Bottom 5%,Top 20%,Bottom 40%,Top 10%,Bottom 30%,310
311,Bottom 5%,Top 20%,Bottom 40%,Top 30%,Bottom 40%,311
312,Bottom 20%,Top 10%,Bottom 10%,Top 10%,Bottom 10%,312
313,Top 40%,Top 20%,Top 40%,Top 40%,Top 40%,313
314,Bottom 50%,Top 20%,Bottom 40%,Top 30%,Bottom 40%,314
315,Bottom 20%,Top 20%,Bottom 5%,Top 5%,Bottom 5%,315
316,Top 10%,Bottom 5%,Bottom 40%,Bottom 50%,Bottom 30%,316
317,Top 20%,Bottom 40%,Bottom 40%,Top 40%,Bottom 30%,317
318,Bottom 30%,Top 20%,Bottom 20%,Top 20%,Bottom 10%,318
319,Top 40%,Bottom 40%,Bottom 30%,Top 30%,Bottom 20%,319
320,Bottom 30%,Bottom 40%,Bottom 40%,Top 30%,Bottom 30%,320
321,Top 40%,Bottom 40%,Bottom 40%,Top 40%,Bottom 50%,321
322,Bottom 40%,Top 20%,Bottom 40%,Top 30%,Bottom 50%,322
323,Bottom 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%,323
324,Top 40%,Bottom 40%,Bottom 40%,Top 40%,Bottom 30%,324
325,Bottom 40%,Top 20%,Bottom 40%,Top 20%,Bottom 40%,325
326,Bottom 30%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%,326
327,Bottom 5%,Bottom 40%,Top 40%,Top 20%,Bottom 50%,327
328,Bottom 20%,Top 20%,Bottom 5%,Top 5%,Bottom 5%,328
329,Bottom 5%,Bottom 40%,Bottom 40%,Top 10%,Bottom 40%,329
330,Bottom 10%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%,330
331,Bottom 40%,Top 20%,Bottom 20%,Top 10%,Bottom 20%,331
332,Bottom 20%,Top 20%,Top 40%,Top 40%,Top 50%,332
333,Bottom 50%,Bottom 40%,Bottom 40%,Top 30%,Bottom 40%,333
334,Top 20%,Bottom 40%,Bottom 10%,Bottom 40%,Bottom 10%,334
335,Top 20%,Bottom 40%,Bottom 40%,Bottom 30%,Bottom 40%,335
336,Bottom 20%,Bottom 30%,Bottom 40%,Top 5%,Bottom 30%,336
337,Bottom 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 10%,337
338,Top 20%,Bottom 5%,Bottom 5%,Top 20%,Bottom 5%,338
339,Top 40%,Bottom 40%,Bottom 20%,Top 30%,Bottom 20%,339
340,Bottom 30%,Top 20%,Bottom 20%,Top 20%,Bottom 20%,340
341,Top 40%,Top 20%,Bottom 40%,Top 30%,Bottom 40%,341
342,Bottom 10%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 30%,342
343,Bottom 10%,Bottom 40%,Bottom 40%,Top 20%,Bottom 30%,343
344,Bottom 10%,Top 20%,Bottom 10%,Top 5%,Bottom 20%,344
